,column.names,class,range,mean
1,PersonID,integer,"1,30",Not available
2,activityName,factor,"LAYING,SITTING,STANDING,WALKING,WALKING_DOWNSTAIRS,WALKING_UPSTAIRS",Not available
3,tBodyAcc-mean()-X,numeric,"0.265696920582133,0.280179098426966",0.274378722
4,tBodyAcc-mean()-Y,numeric,"-0.0209466555412396,-0.0133496817746907",-0.017459263
5,tBodyAcc-mean()-Z,numeric,"-0.118277180099383,-0.0996007059877049",-0.108759556
6,tBodyAcc-std()-X,numeric,"-0.992370654583333,-0.127000600558652",-0.628116532
7,tBodyAcc-std()-Y,numeric,"-0.972196177948718,0.121465311011236",-0.531077289
8,tBodyAcc-std()-Z,numeric,"-0.976352307916667,-0.0829789883191393",-0.645181429
9,tGravityAcc-mean()-X,numeric,"0.475323016,0.962581161666667",0.678986282
10,tGravityAcc-mean()-Y,numeric,"-0.180018835666667,0.2814715215",0.004371653
11,tGravityAcc-mean()-Z,numeric,"-0.284880580416667,0.239226040930391",0.086252283
12,tGravityAcc-std()-X,numeric,"-0.995679798333333,-0.933986522704918",-0.965932475
13,tGravityAcc-std()-Y,numeric,"-0.982492101538462,-0.901088770963325",-0.955657999
14,tGravityAcc-std()-Z,numeric,"-0.973759297333333,-0.880682330706602",-0.942014905
15,tBodyAccJerk-mean()-X,numeric,"0.0572366455208955,0.0866435091149576",0.078133886
16,tBodyAccJerk-mean()-Y,numeric,"-0.00310401228089888,0.0200470964972984",0.007454499
17,tBodyAccJerk-mean()-Z,numeric,"-0.0196719912994306,0.0155338481445373",-0.004458357
18,tBodyAccJerk-std()-X,numeric,"-0.993627979375,-0.171553961355056",-0.655474556
19,tBodyAccJerk-std()-Y,numeric,"-0.987195772291667,0.00409088203382023",-0.620811589
20,tBodyAccJerk-std()-Z,numeric,"-0.991061698958333,-0.386900926617978",-0.778498969
21,tBodyGyro-mean()-X,numeric,"-0.0702784362985075,0.00779788388987705",-0.031427744
22,tBodyGyro-mean()-Y,numeric,"-0.10137018874878,-0.0422418424895522",-0.075030779
23,tBodyGyro-mean()-Z,numeric,"0.0483130820040984,0.116262252263758",0.088441165
24,tBodyGyro-std()-X,numeric,"-0.987584196794872,-0.35344952441573",-0.734458107
25,tBodyGyro-std()-Y,numeric,"-0.985762623125,-0.216650778374795",-0.702843032
26,tBodyGyro-std()-Z,numeric,"-0.985666489166667,-0.16936650962377",-0.671296782
27,tBodyGyroJerk-mean()-X,numeric,"-0.114427759866748,-0.0589128557764045",-0.096307333
28,tBodyGyroJerk-mean()-Y,numeric,"-0.0500700364842697,-0.0372238262065657",-0.042173244
29,tBodyGyroJerk-mean()-Z,numeric,"-0.0644152729899187,-0.0418610459717213",-0.054675986
30,tBodyGyroJerk-std()-X,numeric,"-0.992694551282051,-0.0342001184382022",-0.738231059
31,tBodyGyroJerk-std()-Y,numeric,"-0.993396012564103,-0.300014548011236",-0.797528694
32,tBodyGyroJerk-std()-Z,numeric,"-0.993543291041667,-0.0509923894251685",-0.743946293
33,tBodyAccMag-mean(),numeric,"-0.980278693846154,-0.0554082692382022",-0.573164969
34,tBodyAccMag-std(),numeric,"-0.97465493875,-0.104608866786517",-0.612478682
35,tGravityAccMag-mean(),numeric,"-0.980278693846154,-0.0554082692382022",-0.573164969
36,tGravityAccMag-std(),numeric,"-0.97465493875,-0.104608866786517",-0.612478682
37,tBodyAccJerkMag-mean(),numeric,"-0.992407460833333,-0.153888888820225",-0.665423872
38,tBodyAccJerkMag-std(),numeric,"-0.991481431666667,-0.0879004446179775",-0.643511785
39,tBodyGyroMag-mean(),numeric,"-0.979459900833333,-0.175624994910562",-0.627178778
40,tBodyGyroMag-std(),numeric,"-0.980494326458333,-0.201180788774157",-0.678797282
